kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,,,,,,,,,,,,,,,,,,,,,,,,
7678434,K00892.02,Kepler-716 c,CONFIRMED,1.78,,,,,,,,,,,,,,,,,,,,,,,,
7685981,K00893.01,Kepler-717 b,CONFIRMED,2.66,,,,,,,,,,,,,,,,,,,,,,,,
7708215,K00894.01,,FALSE POSITIVE,4.68,,,,,,,,,,,,,,,,,,,,,,,,
7373451,K00881.02,Kepler-712 c,CONFIRMED,4.53,,,,,,,,,,,,,,,,,,,,,,,,
7377033,K00882.01,,FALSE POSITIVE,21.58,,,,,,,,,,,,,,,,,,,,,,,,
7380537,K00883.01,,CANDIDATE,12.04,,,,,,,,,,,,,,,,,,,,,,,,
7434875,K00884.01,Kepler-247 c,CONFIRMED,4.16,,,,,,,,,,,,,,,,,,,,,,,,
8349582,K00122.01,Kepler-95 b,CONFIRMED,3.13,,,,,,,,,,,,,,,,,,,,,,,,
7434875,K00884.02,Kepler-247 d,CONFIRMED,2.92,,,,,,,,,,,,,,,,,,,,,,,,
7434875,K00884.03,Kepler-247 b,CONFIRMED,1.74,,,,,,,,,,,,,,,,,,,,,,,,
7455287,K00886.01,Kepler-54 b,CONFIRMED,1.72,,,,,,,,,,,,,,,,,,,,,,,,
7455287,K00886.02,Kepler-54 c,CONFIRMED,1.29,,,,,,,,,,,,,,,,,,,,,,,,
7455287,K00886.03,Kepler-54 d,CONFIRMED,1.3,,,,,,,,,,,,,,,,,,,,,,,,
7458762,K00887.01,Kepler-713 b,CONFIRMED,2.45,,,,,,,,,,,,,,,,,,,,,,,,
7552344,K00888.01,,FALSE POSITIVE,4.14,,,,,,,,,,,,,,,,,,,,,,,,
757450,K00889.01,Kepler-75 b,CONFIRMED,10.51,,,,,,,,,,,,,,,,,,,,,,,,
7585481,K00890.01,Kepler-714 b,CONFIRMED,8.95,,,,,,,,,,,,,,,,,,,,,,,,
7663691,K00891.01,Kepler-715 b,CONFIRMED,3.52,,,,,,,,,,,,,,,,,,,,,,,,
5812701,K00012.01,Kepler-448 b,CONFIRMED,13.16,,,,,,,,,,,,,,,,,,,,,,,,
8013419,K00901.01,,CANDIDATE,4.87,,,,,,,,,,,,,,,,,,,,,,,,
8018547,K00902.01,,CANDIDATE,4.78,,,,,,,,,,,,,,,,,,,,,,,,
8039892,K00903.01,Kepler-719 b,CONFIRMED,6.96,,,,,,,,,,,,,,,,,,,,,,,,
8150320,K00904.01,Kepler-55 d,CONFIRMED,1.85,,,,,,,,,,,,,,,,,,,,,,,,
8150320,K00904.02,Kepler-55 b,CONFIRMED,1.9,,,,,,,,,,,,,,,,,,,,,,,,
11086270,K00124.01,Kepler-110 b,CONFIRMED,2.57,,,,,,,,,,,,,,,,,,,,,,,,
7767559,K00895.01,,FALSE POSITIVE,10.95,,,,,,,,,,,,,,,,,,,,,,,,
7825899,K00896.01,Kepler-248 c,CONFIRMED,4.14,,,,,,,,,,,,,,,,,,,,,,,,
7825899,K00896.02,Kepler-248 b,CONFIRMED,2.96,,,,,,,,,,,,,,,,,,,,,,,,
7849854,K00897.01,Kepler-718 b,CONFIRMED,13.12,,,,,,,,,,,,,,,,,,,,,,,,
7870390,K00898.01,Kepler-83 b,CONFIRMED,2.23,,,,,,,,,,,,,,,,,,,,,,,,
7870390,K00898.02,Kepler-83 d,CONFIRMED,1.66,,,,,,,,,,,,,,,,,,,,,,,,
5094751,K00123.02,Kepler-109 c,CONFIRMED,2.48,,,,,,,,,,,,,,,,,,,,,,,,
7870390,K00898.03,Kepler-83 c,CONFIRMED,2.25,,,,,,,,,,,,,,,,,,,,,,,,
7907423,K00899.01,Kepler-249 c,CONFIRMED,1.16,,,,,,,,,,,,,,,,,,,,,,,,
7907423,K00899.02,Kepler-249 b,CONFIRMED,0.91,,,,,,,,,,,,,,,,,,,,,,,,
7907423,K00899.03,Kepler-249 d,CONFIRMED,1.11,,,,,,,,,,,,,,,,,,,,,,,,
7938496,K00900.01,Kepler-1730 b,CONFIRMED,4.56,,,,,,,,,,,,,,,,,,,,,,,,
8490993,K00911.01,Kepler-722 b,CONFIRMED,2.85,,,,,,,,,,,,,,,,,,,,,,,,
8490993,K00911.02,Kepler-722 c,CONFIRMED,3.43,,,,,,,,,,,,,,,,,,,,,,,,
8505670,K00912.01,Kepler-252 c,CONFIRMED,2.34,,,,,,,,,,,,,,,,,,,,,,,,
8505670,K00912.02,Kepler-252 b,CONFIRMED,1.18,,,,,,,,,,,,,,,,,,,,,,,,
8544996,K00913.01,Kepler-723 b,CONFIRMED,10.55,,,,,,,,,,,,,,,,,,,,,,,,
8552202,K00914.01,,CANDIDATE,1.87,,,,,,,,,,,,,,,,,,,,,,,,
8150320,K00904.03,Kepler-55 c,CONFIRMED,1.85,,,,,,,,,,,,,,,,,,,,,,,,
